company,totalyearlycompensation,yearsofexperience,Masters_Degree,Bachelors_Degree,Doctorate_Degree,state,city
Small,233000,4.0,0,0,0,CA,San Francisco
Large,218000,11.0,0,0,0,WA,Seattle
Small,180000,10.0,0,0,0,CA,San Jose
Small,500000,4.0,0,0,0,CA,San Francisco
Large,370000,8.0,0,0,0,WA,Seattle
Large,200000,3.0,0,0,0,WA,Seattle
Large,340000,11.0,0,0,0,WA,Bellevue
Medium,690000,10.0,0,0,0,WA,Kirkland
Small,600000,3.0,0,0,0,CA,Los Gatos
Small,168000,8.0,0,0,0,CA,Palo Alto
Small,187000,4.0,0,0,0,NY,New York
Large,225000,11.0,0,0,0,CA,Menlo Park
Small,220000,6.0,0,0,0,CA,San Diego
Large,130000,7.0,0,0,0,WA,Seattle
Small,112000,4.0,0,0,0,VA,Mc Lean
Large,200000,5.0,0,0,0,MA,Boston
Small,120000,1.0,0,0,0,DC,Washington
Large,500000,20.0,0,0,0,WA,Seattle
Large,220000,2.0,0,0,0,WA,Redmond
Small,147000,1.0,0,0,0,CA,San Francisco
Large,340000,9.0,0,0,0,WA,Redmond
Medium,235000,2.0,0,0,0,CA,San Francisco
Small,206000,9.0,0,0,0,CA,Mountain View
Small,233000,3.0,0,0,0,CA,San Francisco
Large,149000,9.0,0,0,0,WA,Redmond
Large,356000,9.0,0,0,0,WA,Redmond
Small,305000,5.0,0,0,0,WA,Seattle
Large,200000,5.0,0,0,0,CA,Menlo Park
Medium,215000,0.0,0,0,0,CA,Cupertino
Medium,700000,6.0,0,0,0,WA,Seattle
Large,243000,2.0,0,0,0,WA,Redmond
Large,260000,3.0,0,0,0,CA,Palo Alto
Large,240000,10.0,0,0,0,WA,Seattle
Large,300000,1.0,0,0,0,CA,Sunnyvale
Small,160000,1.0,0,0,0,NY,New York
Small,220000,7.0,0,0,0,CA,San Jose
Medium,210000,1.0,0,0,0,CA,Mountain View
Medium,210000,1.0,0,0,0,CA,Mountain View
Large,115000,6.0,0,0,0,WA,Seattle
Large,115000,6.0,0,0,0,WA,Seattle
Medium,188000,6.0,0,0,0,CA,Cupertino
Large,215000,10.0,0,0,0,WA,Redmond
Small,315000,15.0,0,0,0,CA,San Francisco
Medium,240000,2.0,0,0,0,CA,San Francisco
Small,230000,2.0,0,0,0,CA,San Francisco
Large,216000,15.0,0,0,0,WA,Redmond
Large,125000,3.0,0,0,0,WA,Seattle
Medium,322000,6.0,0,0,0,CA,Cupertino
Small,400000,2.0,0,0,0,CA,Los Gatos
Large,157000,2.0,0,0,0,WA,Seattle
Small,82000,4.0,0,0,0,MN,Bloomington
Small,120000,6.0,0,0,0,MA,Boston
Large,240000,2.0,0,0,0,WA,Redmond
Small,100000,1.0,0,0,0,TX,Austin
Small,114000,2.0,0,0,0,NY,New York
Small,119000,2.0,0,0,0,NY,New York
Small,250000,0.0,0,0,0,CA,San Francisco
Large,182000,10.0,0,0,0,MA,Boston
Medium,120000,1.0,0,0,0,CA,Santa Monica
Small,318000,3.0,0,0,0,CA,Mountain View
Small,135000,3.0,0,0,0,NY,New York
Large,228000,5.0,0,0,0,WA,Seattle
Medium,137000,2.0,0,0,0,CA,San Jose
Small,156000,20.0,0,0,0,NC,Charlotte
Large,193000,1.0,0,0,0,CA,San Francisco
Medium,350000,5.0,0,0,0,CA,San Francisco
Medium,425000,9.0,0,0,0,CA,Sunnyvale
Large,385000,6.0,0,0,0,CA,Menlo Park
Small,150000,5.0,0,0,0,TX,Dallas
Large,280000,3.0,0,0,0,CA,San Francisco
Large,180000,2.0,0,0,0,WA,Redmond
Small,160000,4.0,0,0,0,NY,New York
Large,125000,1.0,0,0,0,WA,Seattle
Large,180000,9.0,0,0,0,WA,Redmond
Large,180000,9.0,0,0,0,WA,Redmond
Small,115000,4.0,0,0,0,MA,Boston
Large,190000,4.0,0,0,0,WA,Redmond
Large,225000,2.0,0,0,0,WA,Redmond
Large,145000,4.0,0,0,0,CA,Sunnyvale
Large,230000,0.0,0,0,0,CA,Menlo Park
Small,425000,10.0,0,0,0,CA,Los Gatos
Small,200000,8.0,0,0,0,WA,Bellevue
Small,115000,1.0,0,0,0,NM,Albuquerque
Small,205000,0.0,0,0,0,WA,Seattle
Small,284000,3.0,0,0,0,CA,San Francisco
Large,400000,10.0,0,0,0,WA,Seattle
Large,237000,5.0,0,0,0,CA,Menlo Park
Large,145000,2.0,0,0,0,WA,Seattle
Small,112000,9.0,0,0,0,NC,Cary
Large,160000,0.0,0,0,0,WA,Redmond
Small,140000,4.0,0,0,0,GA,Atlanta
Small,169000,2.0,0,0,0,CA,San Francisco
Large,183000,8.0,0,0,0,MA,Cambridge
Small,220000,5.0,0,0,0,CA,San Francisco
Small,145000,2.0,0,0,0,NY,New York
Small,145000,5.0,0,0,0,WA,Seattle
Small,195000,10.0,0,0,0,AR,Bentonville
Small,430000,7.0,0,0,0,CA,San Francisco
Large,169000,6.0,0,0,0,WA,Seattle
Small,320000,10.0,0,0,0,CA,San Francisco
Medium,250000,6.0,0,0,0,CA,Mountain View
Medium,250000,6.0,0,0,0,CA,Mountain View
Small,182000,5.0,0,0,0,CA,San Jose
Small,180000,20.0,0,0,0,CA,San Francisco
Large,196000,4.0,0,0,0,CA,Irvine
Small,100000,2.0,0,0,0,TX,Austin
Small,100000,2.0,0,0,0,TX,Austin
Medium,300000,6.0,0,0,0,CA,Cupertino
Small,110000,3.0,0,0,0,CA,Los Angeles
Small,145000,2.0,0,0,0,CA,San Francisco
Large,150000,0.0,0,0,0,CA,Menlo Park
Small,187000,0.0,0,0,0,CA,San Francisco
Small,125000,1.0,0,0,1,DC,Washington
Small,185000,5.0,0,0,0,IL,Chicago
Small,281000,3.0,0,0,0,CA,Sunnyvale
Small,250000,4.0,0,0,0,CA,Mountain View
Large,154000,4.0,0,0,0,WA,Seattle
Large,226000,0.0,0,0,0,WA,Bellevue
Small,118000,3.0,0,0,0,MA,Boston
Large,365000,18.0,0,0,0,WA,Redmond
Large,192000,0.0,0,0,0,WA,Redmond
Small,120000,3.0,0,0,0,CO,Broomfield
Large,187000,4.0,0,0,0,WA,Seattle
Small,283000,4.0,0,0,0,CA,San Francisco
Small,240000,8.0,0,0,0,CA,San Francisco
Small,265000,6.0,0,0,0,CA,Mountain View
Small,220000,5.0,0,0,0,CA,Mountain View
Large,209000,3.0,0,0,0,CA,Palo Alto
Small,184000,18.0,0,0,0,WA,Seattle
Large,350000,4.0,0,0,0,CA,San Francisco
Small,120000,2.0,0,0,0,NY,New York
Small,165000,0.0,0,0,0,CA,San Francisco
Small,137000,4.0,0,0,0,OR,Hillsboro
Small,176000,2.0,0,0,0,CA,San Jose
Small,165000,13.0,0,0,0,CA,Santa Clara
Small,135000,1.0,0,0,0,NY,New York
Large,181000,4.0,0,0,0,CA,Palo Alto
Small,132000,1.0,0,0,0,CA,San Francisco
Small,900000,12.0,0,0,0,CA,San Jose
Small,310000,2.0,0,0,0,CA,San Francisco
Small,178000,1.0,0,0,0,CA,San Francisco
Medium,230000,1.0,0,0,0,CA,Cupertino
Small,195000,3.0,0,0,0,CA,San Jose
Small,180000,1.0,0,0,0,CA,San Francisco
Medium,195000,3.0,0,0,0,CA,San Francisco
Small,185000,5.0,0,0,0,CA,Mountain View
Small,655000,5.0,0,0,0,CA,Los Gatos
Large,150000,0.0,0,0,0,WA,Redmond
Large,150000,0.0,0,0,0,WA,Redmond
Small,195000,8.0,0,0,0,CA,San Francisco
Large,150000,7.0,0,0,0,WA,Redmond
Small,315000,10.0,0,0,0,WA,Seattle
Small,252000,6.0,0,0,0,CA,Sunnyvale
Small,235000,10.0,0,0,0,CA,San Jose
Small,200000,5.0,0,0,0,CA,San Francisco
Small,200000,5.0,0,0,0,CA,San Francisco
Small,118000,1.0,0,0,0,MA,Boston
Small,170000,3.0,0,0,0,WA,Seattle
Small,200000,4.0,0,0,0,CA,San Francisco
Small,200000,9.0,0,0,0,TX,Plano
Small,120000,2.0,0,0,0,OH,Columbus
Small,117000,7.0,0,0,0,CO,Colorado Springs
Large,123000,0.0,0,0,0,WA,Seattle
Large,270000,10.0,0,0,0,WA,Bellevue
Large,150000,0.0,0,0,0,WA,Redmond
Medium,634000,8.0,0,0,0,CA,Mountain View
Large,164000,0.0,0,0,0,MA,Cambridge
Small,178000,2.0,0,0,0,CA,San Francisco
Medium,225000,0.0,0,0,0,CA,San Francisco
Small,200000,3.0,0,0,0,OR,Portland
Large,245000,3.0,0,0,0,CA,Berkeley
Small,120000,2.0,0,0,0,CA,Irvine
Large,222000,10.0,0,0,0,WA,Bellevue
Large,201000,2.0,0,0,0,WA,Seattle
Small,70000,3.0,0,0,0,NC,Morrisville
Small,211000,3.0,0,0,0,CO,Boulder
Small,150000,2.0,0,0,0,NY,New York
Small,144000,13.0,0,0,0,VA,Richmond
Small,276000,4.0,0,0,0,CA,Mountain View
Large,250000,3.0,0,0,0,WA,Seattle
Small,215000,4.0,0,0,0,CA,San Francisco
Large,108000,1.0,0,0,0,WA,Redmond
Large,230000,2.0,0,0,0,WA,Seattle
Small,160000,2.0,0,0,0,CA,Sunnyvale
Large,240000,0.0,0,0,0,CA,Mountain View
